time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.93295396711e-07,5.71710376966e-08,10.0007505319,7.50203073601e-05,0.000305158142224,0.0,-2.50673609815e-05,5.41591013039e-06,0.0250172277048,0.00364074286418,0.0136953200188,0.0,412.160761959262,413.369090514946,411.92354943471577,412.24529213433254
0.12000000000000001,-1.18983604134e-05,3.0998466833e-06,10.0068688155,0.000438527358114,0.000844435927902,0.0,-0.00043906589275,0.000128442854424,0.178913128233,0.0105017721103,-0.00265464869792,0.0,454.4103354533801,453.09792437099486,453.3340008210896,453.8847729404265
0.18,-5.56105218813e-05,2.25967866723e-05,10.0213400219,0.000907014823064,0.00058055015385,0.0,-0.000995897865963,0.000580139477603,0.303434818558,0.00178792671438,-0.00813551432211,0.0,444.28585575392674,443.83641318127917,445.6152075901078,444.90234081231824
0.23999999999999996,-0.000126485143356,7.78292804579e-05,10.0440192709,0.000740775550274,0.000339960269814,0.0,-0.00132791428647,0.00125993524029,0.452492312596,-0.0139533423801,0.00317574060673,0.0,451.47442502305745,452.3860623652728,453.33469817474594,452.0683319196563
0.3,-0.000214814214836,0.000166535212513,10.0760353222,6.28295302547,0.000720568391077,0.0,-0.00164884373029,0.00159671125093,0.614635721749,-0.0211812883451,0.0120263767286,0.0,456.4682595164226,457.1737997886126,456.328608039272,455.7514485371601
0.36000000000000004,-0.000331237467721,0.000252746892529,10.1158407979,6.28172475308,0.00124133937324,0.0,-0.00229605627805,0.00115006855076,0.712157130527,-0.0190876963885,0.000966294797083,0.0,436.4134780938447,435.48935843624014,437.00066517838053,437.1751294179519
0.4200000000000001,-0.00049685404963,0.000285094004371,10.1628833053,6.28067748273,0.00160003960754,0.0,-0.00324862149339,-0.00019038107029,0.855829224841,-0.0143735184185,0.0144808066773,0.0,450.80397754948103,451.89445265470425,450.6272203066981,451.00815590735465
0.48000000000000015,-0.00072832901595,0.00021957533539,10.2169214331,6.28000149914,0.00304862438462,0.0,-0.00458835879466,-0.00207002455044,0.945371063173,-0.00568176462073,0.0386128813713,0.0,433.7144225434842,435.73634242638053,433.5667616586908,434.29641856276845
0.5400000000000001,-0.00106644236003,3.73343016539e-05,10.2738719625,6.27971121464,0.0059222322353,0.0,-0.00691528884537,-0.00403248238767,0.952972529236,-0.00320187263021,0.0619219476069,0.0,406.3842891191262,408.4695665816566,407.37580434823457,407.5975492140031
0.6000000000000002,-0.00165118894463,-0.000293516502748,10.3391022148,6.28029007854,0.00940976359156,0.0,-0.0130333277746,-0.00696052203518,1.22111881308,0.027495070778,0.0491840908374,0.0,489.12094202358463,488.173484640249,486.7589125936281,489.0503939703132
0.6600000000000003,-0.00265943502337,-0.000769584743833,10.4174284061,6.28226956975,0.0119370854075,0.0,-0.0208871791912,-0.00870245304537,1.3895617719,0.0421843838405,0.021714603446,0.0,461.18321779389436,459.00945590147717,458.50509496882887,459.67088145459695
0.7200000000000003,-0.00416208661189,-0.00130060132561,10.5036299824,0.00189588132909,0.0129486752762,0.0,-0.0293192433403,-0.00872655529187,1.48370485298,0.0548686797117,0.00475356376875,0.0,438.63860307744847,437.22787123783274,435.4868881123066,436.54782614909305
0.7800000000000004,-0.00623485003632,-0.00176329163116,10.5991164846,0.00555316485103,0.0128804244027,0.0,-0.0397866015051,-0.00628104434676,1.69888247334,0.0709634212038,-0.0167872857141,0.0,474.87733878133463,473.2222881699769,473.6754088873093,474.91374201760453
0.8400000000000004,-0.00887279950579,-0.00201495854878,10.7031480612,0.00953946365042,0.0117462331155,0.0,-0.0480397213573,-0.00170452665746,1.76872955796,0.0553659005783,-0.0235114209157,0.0,430.4642545345777,429.8949392488734,430.6996974391233,429.38198078930276
0.9000000000000005,-0.0120381328792,-0.00186672513999,10.8162539374,0.0131148497539,0.0101367768509,0.0,-0.0572848101354,0.00706241871088,2.00108684469,0.0669214379333,-0.0344451371701,0.0,479.7378116052383,478.9068274645868,480.28568439506574,481.16341558750736
0.9600000000000005,-0.0156470049737,-0.00119899344806,10.9362672309,0.0167525206806,0.00771873911972,0.0,-0.062819447461,0.0155320527386,1.99935623708,0.0434609118084,-0.0558121493555,0.0,407.8723190722602,405.958507641555,409.0034511142153,406.91157950839374
1.0200000000000005,-0.0195600403759,8.18877888802e-05,11.0588047087,0.0195631581981,0.00448981911419,0.0,-0.0672859522003,0.027432741299,2.08507121623,0.0528702262441,-0.0500955180412,0.0,435.7094225872414,436.18507617961893,436.2396554377385,437.02594178225837
1.0800000000000005,-0.0236881491424,0.00219344228053,11.1893501027,0.0228214418209,0.0011764280066,0.0,-0.0699595167166,0.0433121812287,2.26609466123,0.0570285555697,-0.0682072624607,0.0,467.3772818550494,465.961608658201,465.2373048592216,465.56457321026704
1.1400000000000006,-0.0278936289246,0.00522802970545,11.3261999076,0.0269593994832,6.28018106669,0.0,-0.0698447526295,0.0581917616194,2.29549821389,0.0858896767172,-0.0727924722341,0.0,419.2311554832649,418.8285438852937,417.8713083547959,420.3832599684564
1.2000000000000006,-0.0319857951056,0.00944332543579,11.4721998467,0.0319066938232,6.27537618616,0.0,-0.0659854337835,0.0829490749547,2.57056870682,0.0745112526221,-0.101528035939,0.0,495.0831180582037,492.95956849787837,494.76379133697304,493.9301255039661
